model,query,image_id,transform,level,label,cosine
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,0.2,brightness_0.2x,0.906842
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,0.4,brightness_0.4x,0.95304
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,0.6,brightness_0.6x,0.97338
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,0.8,brightness_0.8x,0.987221
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,1.2,brightness_1.2x,0.982355
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,1.5,brightness_1.5x,0.94932
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,2.0,brightness_2x,0.81854
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,brightness,3.0,brightness_3x,0.579887
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,blur,0.5,blur_0.5px,0.992458
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,blur,1.0,blur_1px,0.941737
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,blur,2.0,blur_2px,0.891078
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,blur,4.0,blur_4px,0.639717
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,saturation,0.2,saturation_0.2x,0.980482
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,saturation,0.4,saturation_0.4x,0.990591
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,saturation,0.7,saturation_0.7x,0.99805
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,saturation,1.3,saturation_1.3x,0.999123
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,saturation,1.7,saturation_1.7x,0.99577
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,saturation,2.5,saturation_2.5x,0.988264
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,hue,-0.3,hue_-0.3,0.975461
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,hue,-0.15,hue_-0.15,0.991051
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,hue,0.15,hue_0.15,0.988453
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,hue,0.3,hue_0.3,0.974536
resnet18,5,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Loafers/Keen Kids/7969283.325.jpg,rotation,5.0,rotation_5deg,0.942156
resnet18,5,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Loafers/Keen Kids/7969283.325.jpg,rotation,10.0,rotation_10deg,0.881933
